order_index,run_key,pair_id,family,instance_id,architecture,budget_max_model_calls,budget_max_tool_calls,budget_max_total_tokens,budget_max_concurrent_branches,budget_timeout_seconds,requested_model_id,expected_model_id,observed_model_ids,eligibility_class,pair_eligibility,termination_reason,exclusion_code,verified_success,utility,required_fact_recall,false_evidence_count,path_switch,repeated_action_count,unrelated_action_count,model_calls,tool_calls,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,critical_path_rounds,merge_omissions,merge_conflicts,controller_rejection_count
11,goal_graph_hybrid__open_evidence-02,open_evidence-02,open_evidence,open_evidence-02,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,True,100,1.0,0,False,13,0,18,5,13989,1236,15225,20.743833899963647,5,0,0,13
12,contracted_react__open_evidence-02,open_evidence-02,open_evidence,open_evidence-02,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,False,0,0,6,6,4120,198,4318,6.263437999994494,5,0,0,0
13,contracted_react__open_evidence-03,open_evidence-03,open_evidence,open_evidence-03,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,False,0,0,6,6,4115,197,4312,5.461741500068456,5,0,0,0
14,goal_graph_hybrid__open_evidence-03,open_evidence-03,open_evidence,open_evidence-03,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,True,100,1.0,0,False,13,0,18,5,13973,1222,15195,23.129880400025286,5,0,0,13
15,goal_graph_hybrid__open_evidence-04,open_evidence-04,open_evidence,open_evidence-04,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,True,100,1.0,0,False,13,0,18,5,13973,1217,15190,24.33650299999863,5,0,0,13
16,contracted_react__open_evidence-04,open_evidence-04,open_evidence,open_evidence-04,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,True,100,1.0,0,False,0,0,6,6,4115,197,4312,6.335239599924535,5,0,0,0
17,contracted_react__parallel_decomposition-01,parallel_decomposition-01,parallel_decomposition,parallel_decomposition-01,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,False,25,1.0,0,False,0,0,6,6,3813,206,4019,6.456444300012663,5,3,0,0
18,goal_graph_hybrid__parallel_decomposition-01,parallel_decomposition-01,parallel_decomposition,parallel_decomposition-01,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,False,25,1.0,0,False,13,0,18,5,13426,1328,14754,20.550333999912255,2,3,0,13
19,goal_graph_hybrid__parallel_decomposition-02,parallel_decomposition-02,parallel_decomposition,parallel_decomposition-02,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,False,25,1.0,0,False,13,0,18,5,13624,1328,14952,20.65137700003106,2,3,0,13
20,contracted_react__parallel_decomposition-02,parallel_decomposition-02,parallel_decomposition,parallel_decomposition-02,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,False,25,1.0,0,False,0,0,6,6,3813,206,4019,5.737383600091562,5,3,0,0
21,contracted_react__parallel_decomposition-03,parallel_decomposition-03,parallel_decomposition,parallel_decomposition-03,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,False,25,1.0,0,False,0,0,6,6,3813,206,4019,5.459622800000943,5,3,0,0
22,goal_graph_hybrid__parallel_decomposition-03,parallel_decomposition-03,parallel_decomposition,parallel_decomposition-03,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,False,25,1.0,0,False,13,0,18,5,13393,1328,14721,18.58665860001929,2,3,0,13
23,goal_graph_hybrid__parallel_decomposition-04,parallel_decomposition-04,parallel_decomposition,parallel_decomposition-04,goal_graph_hybrid,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,model_budget_exhausted,,False,25,1.0,0,False,14,0,18,4,13723,1413,15136,19.168610299937427,2,3,0,14
24,contracted_react__parallel_decomposition-04,parallel_decomposition-04,parallel_decomposition,parallel_decomposition-04,contracted_react,18,24,30000,3,240,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,eligible_agent_result,eligible_pair,finish,,False,25,1.0,0,False,0,0,6,6,3813,206,4019,7.141787500004284,5,3,0,0
